,time,cause,effect_on,effect,Actual Params,Predicted Params,
26,5,2,VariableName.sleep_duration,-0.474110292925417,-0.28446617575525,-0.25450027,10.5340839471306
27,6,2,VariableName.sleep_duration,-0.461050219152408,-0.276630131491445,-0.30479217,10.1803944337951
28,0,2,VariableName.salt_intake,-0.15432642608436,-0.092595855650616,-0.09458801,2.15145087799698
29,1,2,VariableName.salt_intake,0.052933280898802,0.031759968539281,0.03284011,3.40095255252873
30,2,2,VariableName.salt_intake,0.033424537187065,0.020054722312239,0.02193028,9.35219973909278
31,3,2,VariableName.salt_intake,0.006204786301275,0.003722871780765,0.00255479,31.3758262317854
32,4,2,VariableName.salt_intake,0.017407611600961,0.010444566960577,0.01380497,32.1736942479936
33,5,2,VariableName.salt_intake,0.000730607545622,0.000438364527373,-0.00104743,338.94041022821
34,6,2,VariableName.salt_intake,0.043625602550634,0.02617536153038,0.02882926,10.1389181064024
35,0,2,VariableName.step_count,2643.56475422832,1586.13885253699,1599.8574,0.864902050729517
36,1,2,VariableName.step_count,105.692277874996,63.4153667249976,61.774124,2.58808362981624
37,2,2,VariableName.step_count,-242.318919352889,-145.391351611733,-150.71745,3.6632841838422
38,3,2,VariableName.step_count,-684.302033378044,-410.581220026826,-411.01453,0.105535750793885
39,4,2,VariableName.step_count,-372.259084859313,-223.355450915588,-225.06226,0.764167195121226
40,5,2,VariableName.step_count,-635.723708238726,-381.434224943236,-381.73227,0.078137995301383
41,6,2,VariableName.step_count,-814.653286274344,-488.791971764607,-493.06915,0.875050836033939
42,0,salt_intake,VariableName.sbp,83607876353737.8,50164725812242.7,,
43,1,salt_intake,VariableName.sbp,-2391003476188.44,-1434602085713.06,,
44,2,salt_intake,VariableName.sbp,-33219155640043.6,-19931493384026.2,,
45,3,salt_intake,VariableName.sbp,-231205505370.75,-138723303222.45,,
46,4,salt_intake,VariableName.sbp,-8488032122052.02,-5092819273231.21,,
47,5,salt_intake,VariableName.sbp,-12012850152071.6,-7207710091242.96,,
48,6,salt_intake,VariableName.sbp,-27265629458011.3,-16359377674806.8,,
49,0,salt_intake,VariableName.dbp,34091014955174.2,20454608973104.5,,
50,1,salt_intake,VariableName.dbp,13096388970557,7857833382334.2,,
51,2,salt_intake,VariableName.dbp,-16305629071937.4,-9783377443162.44,,
52,3,salt_intake,VariableName.dbp,-35075010056.0039,-21045006033.6023,,
53,4,salt_intake,VariableName.dbp,-241913707616.777,-145148224570.066,,
54,5,salt_intake,VariableName.dbp,-29665296114303.3,-17799177668582,,
55,6,salt_intake,VariableName.dbp,-939490021817.757,-563694013090.654,,
56,0,sleep_duration,VariableName.sbp,-71518936637242,-42911361982345.2,,
57,1,sleep_duration,VariableName.sbp,6929525330576.34,4157715198345.8,,
58,2,sleep_duration,VariableName.sbp,4313073699501.22,2587844219700.73,,
59,3,sleep_duration,VariableName.sbp,5394987214431.91,3236992328659.15,,
60,4,sleep_duration,VariableName.sbp,393032093042.789,235819255825.673,,
61,5,sleep_duration,VariableName.sbp,12122838365799.2,7273703019479.52,,
62,6,sleep_duration,VariableName.sbp,42365479933890.5,25419287960334.3,,
63,0,sleep_duration,VariableName.dbp,-30344624972894.3,-18206774983736.6,,
64,1,sleep_duration,VariableName.dbp,7063833289890,4238299973934,,
65,2,sleep_duration,VariableName.dbp,1785862505043.86,1071517503026.32,,
66,3,sleep_duration,VariableName.dbp,2550912404094.13,1530547442456.48,,
67,4,sleep_duration,VariableName.dbp,11490723040795.9,6894433824477.54,,
68,5,sleep_duration,VariableName.dbp,3216989445558.71,1930193667335.23,,
69,6,sleep_duration,VariableName.dbp,4236304287511.69,2541782572507.01,,
70,0,step_count,VariableName.sbp,-9786183422327.64,-5871710053396.59,,
71,1,step_count,VariableName.sbp,1086061939859.45,651637163915.67,,
72,2,step_count,VariableName.sbp,373923026988.811,224353816193.287,,
73,3,step_count,VariableName.sbp,334612813312.144,200767687987.286,,
74,4,step_count,VariableName.sbp,210018132668.731,126010879601.239,,
75,5,step_count,VariableName.sbp,3166773886969.19,1900064332181.51,,
76,6,step_count,VariableName.sbp,4614793622529.32,2768876173517.59,,
77,0,step_count,VariableName.dbp,-854547925680.226,-512728755408.136,,
78,1,step_count,VariableName.dbp,-2898882780412.06,-1739329668247.24,,
79,2,step_count,VariableName.dbp,-1095614632641.46,-657368779584.876,,
80,3,step_count,VariableName.dbp,1583345159744.06,950007095846.436,,
81,4,step_count,VariableName.dbp,1474939344142.06,884963606485.236,,
82,5,step_count,VariableName.dbp,1294359083052.76,776615449831.656,,
83,6,step_count,VariableName.dbp,496401751794.869,297841051076.921,,
