,Date,State,Confirmed,Recovered,Deceased,Other,Tested
6606,2020-10-01,Maharashtra,1400922,1104426,37056,434,6875451.0
6642,2020-10-02,Maharashtra,1416513,1117720,37480,437,6960203.0
6678,2020-10-03,Maharashtra,1430861,1134555,37758,440,7035296.0
6714,2020-10-04,Maharashtra,1443409,1149603,38084,441,7111204.0
6750,2020-10-05,Maharashtra,1453653,1162585,38347,444,7169887.0
6786,2020-10-06,Maharashtra,1465911,1179726,38717,445,7241376.0
6822,2020-10-07,Maharashtra,1480489,1196441,39072,449,7324188.0
6858,2020-10-08,Maharashtra,1493884,1212016,39430,452,7404231.0
6894,2020-10-09,Maharashtra,1506018,1229339,39732,456,7487383.0
6930,2020-10-10,Maharashtra,1517434,1255779,40040,459,7569447.0
6966,2020-10-11,Maharashtra,1528226,1266240,40345,463,7643584.0
7002,2020-10-12,Maharashtra,1535315,1281896,40514,466,7697906.0
7038,2020-10-13,Maharashtra,1543837,1297252,40701,469,7762005.0
7074,2020-10-14,Maharashtra,1554389,1316769,40859,473,7838318.0
7110,2020-10-15,Maharashtra,1564615,1330483,41196,477,7914651.0
7146,2020-10-16,Maharashtra,1576062,1344368,41502,477,7989693.0
7182,2020-10-17,Maharashtra,1586321,1358606,41965,480,8069100.0
7218,2020-10-18,Maharashtra,1595381,1369810,42115,483,8139466.0
7254,2020-10-19,Maharashtra,1601365,1384879,42240,487,8185778.0
7290,2020-10-20,Maharashtra,1609516,1392308,42453,490,8251234.0
7326,2020-10-21,Maharashtra,1617658,1415679,42633,494,8327493.0
7362,2020-10-22,Maharashtra,1625197,1431856,42831,499,8402559.0
7398,2020-10-23,Maharashtra,1632544,1445103,43015,504,8479155.0
7434,2020-10-24,Maharashtra,1638961,1455107,43152,508,8548036.0
7470,2020-10-25,Maharashtra,1645020,1460755,43264,515,8608928.0
7506,2020-10-26,Maharashtra,1648665,1470660,43348,520,8645195.0
7542,2020-10-27,Maharashtra,1654028,1478496,43463,525,8700033.0
7578,2020-10-28,Maharashtra,1660766,1486926,43554,540,8768879.0
7614,2020-10-29,Maharashtra,1666668,1494809,43710,546,8837133.0
7650,2020-10-30,Maharashtra,1672858,1503050,43837,553,8906826.0
7686,2020-10-31,Maharashtra,1678406,1510353,43911,557,8967403.0
7722,2020-11-01,Maharashtra,1683775,1514079,44024,563,9024871.0
7758,2020-11-02,Maharashtra,1687784,1524304,44128,575,9065168.0
7794,2020-11-03,Maharashtra,1692693,1531277,44248,625,9120515.0
7830,2020-11-04,Maharashtra,1698198,1540005,44548,733,9185838.0
7866,2020-11-05,Maharashtra,1703444,1551282,44804,839,9250254.0
7902,2020-11-06,Maharashtra,1710314,1562342,44965,908,9318544.0
7938,2020-11-07,Maharashtra,1714273,1569090,45115,917,9378531.0
7974,2020-11-08,Maharashtra,1719858,1577322,45240,924,9440535.0
8010,2020-11-09,Maharashtra,1723135,1577322,45325,924,9482940.0
8046,2020-11-10,Maharashtra,1726926,1588091,45435,939,9536182.0
8082,2020-11-11,Maharashtra,1731833,1597255,45560,948,9600328.0
8118,2020-11-12,Maharashtra,1736329,1605064,45682,956,9664275.0
8154,2020-11-13,Maharashtra,1740461,1609607,45809,963,9722961.0
8190,2020-11-14,Maharashtra,1744698,1612314,45914,967,9722961.0
8226,2020-11-15,Maharashtra,1747242,1615379,45974,971,9722961.0
8262,2020-11-16,Maharashtra,1749777,1618380,46034,977,9722961.0
8298,2020-11-17,Maharashtra,1752509,1623503,46102,979,9847478.0
8334,2020-11-18,Maharashtra,1757520,1630111,46202,986,9900878.0
8370,2020-11-19,Maharashtra,1763055,1635971,46356,990,9965119.0
8406,2020-11-20,Maharashtra,1768695,1642916,46511,996,10035665.0
8442,2020-11-21,Maharashtra,1774455,1647004,46573,1005,10120470.0
8478,2020-11-22,Maharashtra,1780208,1651064,46623,1009,10213026.0
8514,2020-11-23,Maharashtra,1784361,1654793,46653,1013,10281543.0
8550,2020-11-24,Maharashtra,1789800,1658879,46683,1017,10366579.0
8586,2020-11-25,Maharashtra,1795959,1663723,46748,1024,10456962.0
8622,2020-11-26,Maharashtra,1802365,1668538,46813,1051,10547333.0
8658,2020-11-27,Maharashtra,1808550,1672627,46898,1056,10635600.0
8694,2020-11-28,Maharashtra,1814515,1676564,46986,1060,10722198.0
8730,2020-11-29,Maharashtra,1820059,1680926,47071,1065,10804422.0
8766,2020-11-30,Maharashtra,1823896,1685122,47151,1066,10856384.0
8802,2020-12-01,Maharashtra,1828826,1691412,47246,1070,10915683.0
8838,2020-12-02,Maharashtra,1832176,1695208,47357,1074,10989496.0
8874,2020-12-03,Maharashtra,1837358,1703274,47472,1077,11059305.0
8910,2020-12-04,Maharashtra,1842587,1710050,47599,1079,11132231.0
8946,2020-12-05,Maharashtra,1847509,1715884,47694,1082,11205118.0
8982,2020-12-06,Maharashtra,1852266,1723370,47734,1083,11273705.0
9018,2020-12-07,Maharashtra,1855341,1730715,47774,1085,11318721.0
9054,2020-12-08,Maharashtra,1859367,1737080,47827,1086,11377074.0
9090,2020-12-09,Maharashtra,1864348,1742191,47902,1089,11447723.0
9126,2020-12-10,Maharashtra,1868172,1747199,47972,1091,11502427.0
9162,2020-12-11,Maharashtra,1872440,1749973,48059,1093,11570137.0
9198,2020-12-12,Maharashtra,1876699,1753922,48139,1096,11638336.0
9234,2020-12-13,Maharashtra,1880416,1757005,48209,1098,11702457.0
9270,2020-12-14,Maharashtra,1883365,1761615,48269,1098,11748362.0
9306,2020-12-15,Maharashtra,1886807,1766010,48339,1102,11806808.0
9342,2020-12-16,Maharashtra,1880893,1769897,48434,1108,11871449.0
9378,2020-12-17,Maharashtra,1884773,1774255,48499,1114,11933956.0
9414,2020-12-18,Maharashtra,1888767,1778722,48574,1119,11996624.0
9450,2020-12-19,Maharashtra,1892707,1781841,48648,1123,12059235.0
9486,2020-12-20,Maharashtra,1896518,1783905,48746,1124,12119196.0
9522,2020-12-21,Maharashtra,1899352,1789958,48801,1124,12157953.0
9558,2020-12-22,Maharashtra,1902458,1794080,48876,1126,12212384.0
9594,2020-12-23,Maharashtra,1906371,1801700,48969,1129,12212384.0
9630,2020-12-24,Maharashtra,1909951,1804871,49058,1131,12341204.0
9666,2020-12-25,Maharashtra,1913382,1806298,49129,1132,12401637.0
9702,2020-12-26,Maharashtra,1916236,1807824,49189,1132,12451919.0
9738,2020-12-27,Maharashtra,1919550,1809948,49255,1133,12502554.0
9774,2020-12-28,Maharashtra,1922048,1814449,49305,1135,12543772.0
9810,2020-12-29,Maharashtra,1925066,1820021,49373,1135,12600754.0
9846,2020-12-30,Maharashtra,1928603,1824934,49463,1140,12672259.0
9882,2020-12-31,Maharashtra,1932112,1828546,49521,1143,12747633.0
9918,2021-01-01,Maharashtra,1935636,1832825,49580,1147,12823834.0
9954,2021-01-02,Maharashtra,1938854,1834935,49631,1151,12890441.0
9990,2021-01-03,Maharashtra,1942136,1836999,49666,1154,12958502.0
10026,2021-01-04,Maharashtra,1947011,1847361,49695,1154,13004876.0
10062,2021-01-05,Maharashtra,1950171,1850189,49759,1156,13061976.0
10098,2021-01-06,Maharashtra,1954553,1852759,49825,1161,13134019.0
10134,2021-01-07,Maharashtra,1958282,1856109,49897,1165,13199201.0
10170,2021-01-08,Maharashtra,1961975,1858999,49970,1168,13267917.0
10206,2021-01-09,Maharashtra,1965556,1861400,50027,1169,13338488.0
10242,2021-01-10,Maharashtra,1969114,1863702,50061,1172,13401170.0
10278,2021-01-11,Maharashtra,1971552,1867988,50101,1175,13443229.0
10314,2021-01-12,Maharashtra,1974488,1871270,50151,1175,13500734.0
10350,2021-01-13,Maharashtra,1978044,1874279,50221,1179,13562194.0
10386,2021-01-14,Maharashtra,1981623,1877588,50291,1186,13623298.0
10422,2021-01-15,Maharashtra,1984768,1881088,50336,1192,13684589.0
10458,2021-01-16,Maharashtra,1987678,1884127,50388,1198,13743486.0
10494,2021-01-17,Maharashtra,1990759,1886469,50438,1199,13806387.0
10531,2021-01-18,Maharashtra,1992683,1890323,50473,1207,13845897.0
10568,2021-01-19,Maharashtra,1994977,1894839,50523,1209,13895277.0
10605,2021-01-20,Maharashtra,1997992,1899428,50582,1213,13957469.0
10642,2021-01-21,Maharashtra,2000878,1903408,50634,1214,14019188.0
10679,2021-01-22,Maharashtra,2003657,1906827,50684,1220,14080930.0
10716,2021-01-23,Maharashtra,2006354,1910521,50740,1223,14145829.0
10753,2021-01-24,Maharashtra,2009106,1912264,50785,1226,14207595.0
10790,2021-01-25,Maharashtra,2010948,1915344,50815,1228,14257998.0
10827,2021-01-26,Maharashtra,2013353,1917450,50862,1230,14315227.0
10864,2021-01-27,Maharashtra,2015524,1920006,50894,1231,14367094.0
10901,2021-01-28,Maharashtra,2018413,1923187,50944,1234,14430223.0
10938,2021-01-29,Maharashtra,2021184,1925800,51000,1237,14496359.0
10975,2021-01-30,Maharashtra,2023814,1927335,51042,1238,14559160.0
11012,2021-01-31,Maharashtra,2026399,1929005,51082,1241,14617168.0
11049,2021-02-01,Maharashtra,2028347,1932294,51109,1243,14656223.0
11086,2021-02-02,Maharashtra,2030274,1936305,51139,1244,14706992.0
11123,2021-02-03,Maharashtra,2033266,1943335,51169,1246,14764744.0
11160,2021-02-04,Maharashtra,2036002,1948674,51215,1251,14821561.0
11197,2021-02-05,Maharashtra,2038630,1952187,51255,1252,14875633.0
11234,2021-02-06,Maharashtra,2041398,1953926,51280,1258,14928130.0
11271,2021-02-07,Maharashtra,2044071,1955548,51310,1265,14977683.0
11308,2021-02-08,Maharashtra,2046287,1958971,51325,1271,15010037.0
11345,2021-02-09,Maharashtra,2048802,1961525,51360,1277,15058995.0
11382,2021-02-10,Maharashtra,2052253,1963946,51390,1284,15108645.0
11419,2021-02-11,Maharashtra,2052905,1970053,51415,1172,15163781.0
11456,2021-02-12,Maharashtra,2056575,1972475,51451,1175,15219416.0
11493,2021-02-13,Maharashtra,2060186,1974248,51489,1180,15272826.0
11530,2021-02-14,Maharashtra,2064278,1975603,51529,1181,15321608.0
11567,2021-02-15,Maharashtra,2067643,1978708,51552,1182,15359026.0
11604,2021-02-16,Maharashtra,2071306,1981408,51591,1182,15396444.0
11641,2021-02-17,Maharashtra,2076093,1985261,51631,1188,15455268.0
11678,2021-02-18,Maharashtra,2081520,1987804,51669,1189,15521198.0
11715,2021-02-19,Maharashtra,2087632,1989963,51713,1191,15588324.0
11752,2021-02-20,Maharashtra,2093913,1992530,51753,1191,15652742.0
11789,2021-02-21,Maharashtra,2100884,1994947,51788,1193,15720259.0
11826,2021-02-22,Maharashtra,2106094,1999982,51806,1193,15793424.0
11863,2021-02-23,Maharashtra,2112312,2005851,51857,1195,15860912.0
11900,2021-02-24,Maharashtra,2121119,2008623,51937,1201,15941773.0
11937,2021-02-25,Maharashtra,2129821,2012367,51993,1201,16026587.0
11974,2021-02-26,Maharashtra,2138154,2017303,52041,1202,16112519.0
12011,2021-02-27,Maharashtra,2146777,2020951,52092,1204,16199818.0
12048,2021-02-28,Maharashtra,2155070,2024704,52154,1204,16284612.0
12085,2021-03-01,Maharashtra,2161467,2030458,52184,1207,16346358.0
12122,2021-03-02,Maharashtra,2169330,2036790,52238,1209,16421879.0
12159,2021-03-03,Maharashtra,2179185,2043349,52280,1213,16509506.0
12196,2021-03-04,Maharashtra,2188183,2049484,52340,1215,16596300.0
12233,2021-03-05,Maharashtra,2198399,2055951,52393,1217,16686880.0
12270,2021-03-06,Maharashtra,2208586,2062031,52440,1218,16776051.0
12307,2021-03-07,Maharashtra,2219727,2068044,52478,1222,16867286.0
12344,2021-03-08,Maharashtra,2228471,2077112,52500,1222,16938227.0
12381,2021-03-09,Maharashtra,2238398,2089294,52556,1226,17022315.0
12418,2021-03-10,Maharashtra,2252057,2099207,52610,1232,17115534.0
12455,2021-03-11,Maharashtra,2266374,2106400,52667,1237,17213312.0
12492,2021-03-12,Maharashtra,2282191,2117744,52723,1239,17310586.0
12529,2021-03-13,Maharashtra,2297793,2125211,52811,1246,17408504.0
12566,2021-03-14,Maharashtra,2314413,2134072,52861,1249,17516885.0
12603,2021-03-15,Maharashtra,2329464,2144743,52909,1265,17609248.0
12640,2021-03-16,Maharashtra,2347328,2154253,52996,1266,17715522.0
12677,2021-03-17,Maharashtra,2370507,2163391,53080,1276,17835495.0
12714,2021-03-18,Maharashtra,2396340,2175565,53138,1284,17956830.0
12751,2021-03-19,Maharashtra,2422021,2189965,53208,1288,18083977.0
12788,2021-03-20,Maharashtra,2449147,2203553,53300,1288,18218001.0
12825,2021-03-21,Maharashtra,2479682,2214867,53399,1296,18356200.0
12862,2021-03-22,Maharashtra,2504327,2234330,53457,1299,18462030.0
12899,2021-03-23,Maharashtra,2533026,2247495,53589,1301,18584463.0
12936,2021-03-24,Maharashtra,2564881,2262593,53684,1305,18725307.0
12973,2021-03-25,Maharashtra,2600833,2283037,53795,1316,18878754.0
13010,2021-03-26,Maharashtra,2637735,2300056,53907,1321,19035439.0
13047,2021-03-27,Maharashtra,2673461,2314579,54073,1334,19192750.0
13084,2021-03-28,Maharashtra,2713875,2332453,54181,1340,19358341.0
13121,2021-03-29,Maharashtra,2745518,2353307,54283,1344,19495189.0
13158,2021-03-30,Maharashtra,2773436,2377127,54422,1345,19625065.0
13195,2021-03-31,Maharashtra,2812980,2400727,54649,1361,19792143.0
13232,2021-04-01,Maharashtra,2856163,2433368,54898,1364,19975341.0
13269,2021-04-02,Maharashtra,2904076,2457494,55379,1371,20158719.0
13306,2021-04-03,Maharashtra,2953523,2495315,55656,1380,20343123.0
13343,2021-04-04,Maharashtra,3010597,2522823,55878,1393,20540111.0
13380,2021-04-05,Maharashtra,3057885,2549075,56033,1402,20715793.0
13417,2021-04-06,Maharashtra,3113354,2583331,56330,1410,20917486.0
13454,2021-04-07,Maharashtra,3173261,2613627,56652,1423,21148736.0
13491,2021-04-08,Maharashtra,3229547,2649757,57028,1445,21385551.0
13528,2021-04-09,Maharashtra,3288540,2695148,57329,1460,21631258.0
13565,2021-04-10,Maharashtra,3343951,2748153,57638,1478,21851235.0
13602,2021-04-11,Maharashtra,3407245,2782161,57987,1510,22114372.0
13639,2021-04-12,Maharashtra,3458996,2834473,58245,1532,22322393.0
13676,2021-04-13,Maharashtra,3519208,2866097,58526,1543,22560051.0
13713,2021-04-14,Maharashtra,3578160,2905721,58804,1565,22802200.0
13750,2021-04-15,Maharashtra,3639855,2959056,59153,1586,23036652.0
13787,2021-04-16,Maharashtra,3703584,3004391,59551,1608,23308878.0
13824,2021-04-17,Maharashtra,3770707,3061174,59970,1630,23580913.0
13861,2021-04-18,Maharashtra,3839338,3106828,60473,1649,23854185.0
13898,2021-04-19,Maharashtra,3898262,3159240,60824,1678,24075811.0
13935,2021-04-20,Maharashtra,3960359,3213464,61343,1696,24341736.0
13972,2021-04-21,Maharashtra,4027827,3268449,61911,1720,24614480.0
14009,2021-04-22,Maharashtra,4094840,3330747,62479,1756,24895986.0
14046,2021-04-23,Maharashtra,4161676,3404792,63252,1781,25173596.0
14083,2021-04-24,Maharashtra,4228836,3468610,63928,1818,25460008.0
14120,2021-04-25,Maharashtra,4295027,3530060,64760,1853,25749543.0
14157,2021-04-26,Maharashtra,4343727,3601796,65284,1877,25972018.0
14194,2021-04-27,Maharashtra,4410085,3669548,66179,1924,26254737.0
14231,2021-04-28,Maharashtra,4473394,3730729,67214,1970,26527862.0
14268,2021-04-29,Maharashtra,4539553,3799266,67985,2001,26816075.0
14305,2021-04-30,Maharashtra,4602472,3868976,68813,2043,27106282.0
14342,2021-05-01,Maharashtra,4665754,3930302,69615,2079,27395288.0
14379,2021-05-02,Maharashtra,4722401,3981658,70284,2106,27652758.0
14416,2021-05-03,Maharashtra,4771022,4041158,70851,2143,27864426.0
